index,sample_id,possible_answers,query_type,query,answer,image_name
201307251,201307251,"No, it is clear.",01-weather_overcast,Is it overcast?,no,n161313.jpg
201640614,201640614,The women are wearing a dress.,"14-dress_wearing,s",Who is wearing the dress?,women,n235859.jpg
202225914,202225914,"No, the fork is clean but silver.",05-black_clean,Does the utensil on top of the table look clean and black?,no,n336443.jpg
2062325,2062325,"Yes, the surfer is wearing a wetsuit.",13-surfer_wetsuit,Is the surfer that looks wet wearing a wetsuit?,yes,n179136.jpg
201303229,201303229,The chair is short.,10q-chair_height,How tall is the chair in the bottom of the photo?,short,n518912.jpg
201902997,201902997,The device is a keyboard.,"15-desk_on top of,s",What kind of device is on top of the desk?,keyboard,n435808.jpg
20567512,20567512,The plane is flying above the ocean.,"14-airplane_flying above,o",What is the airplane flying above?,ocean,n414992.jpg
20136592,20136592,The pants are red.,10q-pants_color,What color are the pants?,red,n446242.jpg
20602803,20602803,The ground is brown.,10c-ground_color,Is the ground blue or brown?,brown,n168412.jpg
201079951,201079951,The draperies are around the window.,"14-window_around,s",What is around the open window?,drapes,n23181.jpg
201079952,201079952,The draperies are around the window.,"14-window_around,s",What's around the window?,drapes,n23181.jpg
20982537,20982537,The woman is standing at the table.,"14-table_standing at,s",Who is standing at the table?,woman,n52544.jpg
201079958,201079958,"Yes, there are drapes to the right of the bed.",13-bed_drapes,Are there drapes to the right of the bed?,yes,n23181.jpg
202218649,202218649,The picture is hanging above the chalkboard.,"14-chalkboard_hanging above,s",What is hanging above the chalkboard?,picture,n578564.jpg
20609782,20609782,"No, the cake is on a plate.",13-cake_platter,Is the cake on a platter?,no,n437064.jpg
201757757,201757757,"Yes, the person is wearing jeans.",13-person_jeans,Is the person to the right of the cup wearing jeans?,yes,n4777.jpg
201902993,201902993,The device is a keyboard.,"15-mouse pad_sitting next to,s",What device is sitting next to the mouse pad?,keyboard,n435808.jpg
20306193,20306193,"Yes, the sweater is open and blue.",05-blue_open,Does the sweater look open and blue?,yes,n554880.jpg
20183468,20183468,"Yes, the jacket is long sleeved and black.",05-black_long sleeved,Is the jacket long sleeved and black?,yes,n151768.jpg
20753401,20753401,"Yes, there is a bed next to the outlet.",13-outlet_bed,Are there beds next to the small outlet?,yes,n49438.jpg
20151723,20151723,The purse is on the right of the image.,10q-purse_hposition,On which side of the picture is the leather bag?,right,n313060.jpg
201030735,201030735,"No, the pillow is square but small.",05-large_square,Is the blue pillow square and large?,no,n54424.jpg
201637161,201637161,The cake is white.,10q-cake_color,Which color is the cake?,white,n200692.jpg
202218836,202218836,The cooking utensil is a pan.,"15-hook_hang from,s",What is the name of the cooking utensil that is hang from the hook?,pan,n578564.jpg
20982539,20982539,The woman is standing at the table.,"14-woman_standing at,o",Where is the skinny person standing?,table,n52544.jpg
201110833,201110833,"No, the plates are on top of the table.",13-plates_ottoman,Are the plates on top of an ottoman?,no,n546616.jpg
20866248,20866248,The fridge is large.,10c-refrigerator_size,Is the freezer near the wall small or large?,large,n579256.jpg
201110523,201110523,The food is a marshmallow.,"15-baby_to the left of,s",What type of food is to the left of the baby that is sitting atop the woman?,marshmallow,n546616.jpg
20120533,20120533,The fence is made of aluminum.,10c-fence_material,Is the fence made of cement or aluminum?,aluminum,n117888.jpg
201952977,201952977,The houses are on the left of the image.,10q-houses_hposition,Which side are the white houses on?,left,n525029.jpg
201497576,201497576,"Yes, both the phone and the coffee cup are black.",09same-coffee cup_phone,Are both the phone and the coffee cup the same color?,yes,n315887.jpg
20866244,20866244,"No, there is a refrigerator but it is large.",04-refrigerator_small,Are there either any small refrigerators or microwaves in the picture?,no,n579256.jpg
201455911,201455911,The car is white.,10c-car_color,"How does that car look like, orange or maybe white?",white,n413761.jpg
20856965,20856965,The book is white.,10q-book_color,What color is the book?,white,n293477.jpg
2059565,2059565,The dirt is red.,10q-dirt_color,What color is the dirt?,red,n130638.jpg
20856960,20856960,"No, the purse is lying on top of a bed.",13-purse_sofa,Is the bag made of leather lying on top of a sofa?,no,n293477.jpg
201079954,201079954,The draperies are around the window.,"14-drapes_around,o",What are the drapes around of?,window,n23181.jpg
201548894,201548894,The picture is on the left of the image.,10q-picture_hposition,On which side is the picture?,left,n314171.jpg
201573912,201573912,The crosswalk is made of cement.,10q-crosswalk_material,What material is the crosswalk in front of the stores?,concrete,n115614.jpg
202243820,202243820,The sprinkles are small.,10q-sprinkles_size,How large are the sprinkles that are sprinkled on the cupcakes?,small,n296467.jpg
201573918,201573918,The crosswalk is made of cement.,10q-crosswalk_material,What type of material is the crosswalk near the street lamp made of?,concrete,n115614.jpg
201974972,201974972,The clothing is a tank top.,12q-clothing_pink,Which kind of clothing is pink?,tank top,n274905.jpg
201974970,201974970,The clothing item is a tank top.,12q-clothing_pink,How is the clothing item that is pink called?,tank top,n274905.jpg
201974976,201974976,The clothing is a hat.,12q-clothing_n#pink,Which kind of clothing is not pink?,hat,n274905.jpg
201996743,201996743,The helicopter is off.,10c-helicopter_39,Is this helicopter on or off?,off,n250715.jpg
20797666,20797666,"Yes, there is a cat.",03-cat,Do you see any cats?,yes,n16656.jpg
20797665,20797665,"No, the shoe is behind a cat.",13-shoe_dog,Is that shoe behind a dog?,no,n16656.jpg
201974979,201974979,The clothing is a tank top.,12q-clothing_sleeveless,What kind of clothing is sleeveless?,tank top,n274905.jpg
201156137,201156137,"No, the field is soft but grassy.",05-snowy_soft,Is the field soft and snowy?,no,n146522.jpg
20442334,20442334,The fruits are bananas.,"15-microwave_beneath,s",What fruits are beneath the microwave?,bananas,n207708.jpg
201765651,201765651,The shirt is white.,10q-shirt_color,Which color is the shirt?,white,n488874.jpg
20442331,20442331,The bananas are beneath the microwave.,"14-microwave_beneath,s",What is beneath the microwave?,bananas,n207708.jpg
20508243,20508243,The chair is on the right of the image.,10q-chair_hposition,On which side of the picture is the chair?,right,n511913.jpg
2046472,2046472,The man is to the right of the woman.,13-woman_man,Is the happy man to the left or to the right of the woman in the center?,right,n71728.jpg
20618932,20618932,The woman is wearing a wristband.,"14-wristband_wearing,s",Who is wearing a wristband?,woman,n126087.jpg
20442338,20442338,"No, there are bananas beneath the microwave.",13-microwave_pears,Is there a pear beneath the appliance that looks silver and black?,no,n207708.jpg
202005788,202005788,This is a cabinet.,08oc-bed_cabinet,Is this a bed or a cabinet?,cabinet,n97485.jpg
201902515,201902515,The router is on the left of the image.,10q-router_hposition,On which side is the router?,left,n435808.jpg
201303404,201303404,The pants are gray.,10q-pants_color,What is the color of the pants?,gray,n518912.jpg
20942157,20942157,The girl is wearing a shirt.,"14-shirt_wearing,s",Who is wearing the shirt?,girl,n137182.jpg
20942156,20942156,The girl is wearing a shirt.,"14-shirt_wearing,s",Who is wearing a shirt?,girl,n137182.jpg
20898685,20898685,The man is standing.,10q-man_pose,What's the man doing?,standing,n243701.jpg
202116974,202116974,"No, there is a river but it is calm.",04-river_n#calm,Are there rivers or oceans that are not calm?,no,n48494.jpg
201621328,201621328,The picture frame is hanging from the wall.,"14-picture frame_hanging from,o",What is the picture frame hanging from?,wall,n275148.jpg
2076819,2076819,The cars are dense.,10c-cars_3,"How do the cars look like, dense or sparse?",dense,n214497.jpg
202244099,202244099,The food is cookies.,12q-food_n#baked,What food isn't baked?,cookies,n296467.jpg
201951771,201951771,The vehicle is a van.,"15-flag_in front of,s",Which kind of vehicle is in front of the flag?,van,n256120.jpg
201951770,201951770,The vehicle is a van.,"15-flag_in front of,s",What is the vehicle that is in front of the flag?,van,n256120.jpg
201621326,201621326,The picture frame is hanging from the wall.,"14-wall_hanging from,s",What is hanging from the wall?,picture frame,n275148.jpg
201233862,201233862,The skateboarder is jumping off the pavement.,"14-skateboarder_jumping off,o",What's the skateboarder jumping off of?,pavement,n130464.jpg
201951776,201951776,"No, the van is in front of a flag.",13-van_balloon,Is the van in front of a balloon?,no,n256120.jpg
20489634,20489634,The bench is beige.,10q-bench_color,What is the color of this bench?,beige,n145498.jpg
201623784,201623784,"No, the cabinets are wooden but closed.",05-open_wood,Are the cabinets below the stove wooden and open?,no,n501609.jpg
202023423,202023423,The piece of furniture is a bed.,12q-furniture_plaid,How is the item of furniture that is plaid called?,bed,n95313.jpg
20182936,20182936,"Yes, the boxes are full and square.",05-full_square,Are the boxes to the right of the man full and square?,yes,n151768.jpg
201654344,201654344,"No, the horse is brown but adult.",05-baby_brown,Is the horse next to the other horse both baby and brown?,no,n6309.jpg
20746468,20746468,The river is narrow.,10c-river_width,Is the river wide or is it narrow?,narrow,n477215.jpg
201428996,201428996,The fridge is bigger than the stove.,"15-refrigerator_bigger than,o",What appliance is the refrigerator larger than?,stove,n64959.jpg
20899362,20899362,"No, the umbrella is in the top of the image.",06-umbrella_bottom,Is the umbrella in the bottom part of the picture?,no,n403734.jpg
202244009,202244009,The cookies are inside the bowl.,"14-bowl_inside,s",What is inside the bowl to the right of the beans?,cookies,n296467.jpg
20287556,20287556,The face mask is clean.,10q-face mask_cleanliness,How clean do you think is the face mask the catcher is wearing?,clean,n317260.jpg
20631973,20631973,The catcher is standing on the field.,"14-catcher_standing on,o",Where is the catcher standing on?,field,n570181.jpg
20287551,20287551,The glove is black.,10q-glove_color,What is the color of the glove?,black,n317260.jpg
201481824,201481824,"Yes, the blanket is soft and white.",05-soft_white,Does the blanket look soft and white?,yes,n470920.jpg
201663656,201663656,The drawers are light brown.,10q-drawers_color,What color are the drawers?,light brown,n35676.jpg
20308576,20308576,"Yes, there is a refrigerator to the left of the stove.",13-stove_refrigerator,Are there refrigerators to the left of the stove?,yes,n278312.jpg
201065067,201065067,The clothing is a gown.,12q-clothing_bright,Which kind of clothing is bright?,gown,n88933.jpg
20462071,20462071,"No, there is a woman near the man.",13-man_elephant,Is there an elephant near the person that is wearing a coat?,no,n571179.jpg
20462076,20462076,The woman is wearing gloves.,"14-woman_wearing,o",What is the woman wearing?,gloves,n571179.jpg
20462075,20462075,The woman is wearing gloves.,"14-woman_wearing,o",What do you think is the standing person near the man wearing?,gloves,n571179.jpg
201065062,201065062,The clothing is a gown.,12q-clothing_pink,Which type of clothing is pink?,gown,n88933.jpg
20754631,20754631,The person is sitting atop the stairs.,"14-person_sitting atop,o",What is the person that is sitting down sitting atop?,stairs,n566028.jpg
201935960,201935960,The shelf is standing on the floor.,"14-floor_standing on,s",What's standing on the floor?,shelf,n500209.jpg
20412222,20412222,The pieces of furniture are tables.,"15-boy_to the left of,s",What items of furniture are to the left of the boy?,tables,n531359.jpg
201935966,201935966,The shelf is in front of the wall.,"14-wall_in front of,s",What is in front of the wall that is not short?,shelf,n500209.jpg
20878946,20878946,The parking lot is wide.,10q-parking lot_width,How wide is the parking lot made of cement?,wide,n259949.jpg
201947446,201947446,The mirror is on the left of the image.,10q-mirror_hposition,On which side of the picture is the clean mirror?,left,n473688.jpg
201498768,201498768,The device is a phone.,"15-computer_in front of,s",What is the device in front of the flat computer?,phone,n315887.jpg
20306764,20306764,The gift is sitting on the floor.,"14-floor_sitting on,s",What is sitting on the floor?,gift,n554880.jpg
202144708,202144708,"Yes, there is a blender to the right of the liquor.",13-liquor_blender,Is there a blender to the right of the yellow drink?,yes,n37274.jpg
20306767,20306767,"Yes, the gift is sitting on the floor.",13-gift_floor,Is the gift sitting on the floor?,yes,n554880.jpg
201996815,201996815,The glasses are made of glass.,10c-glasses_material,"Which material makes up the round glasses, glass or wire?",glass,n250715.jpg
201996813,201996813,The glasses are made of glass.,10q-glasses_material,What are the glasses made of?,glass,n250715.jpg
202060122,202060122,The couch is behind the dog.,"15-couch_behind,o",What animal is the couch behind of?,dog,n14087.jpg
201067797,201067797,The calculator is black.,10q-calculator_color,What is the color of the device that is on the left of the photo?,black,n367944.jpg
20394919,20394919,"No, the knife is to the left of a man.",13-man_knife,Is the knife to the right of a man?,no,n369313.jpg
201497916,201497916,The device is a monitor.,"15-keyboard_above,s",What device is above the keyboard?,monitor,n315887.jpg
20303081,20303081,The man is resting.,10q-man_activity,What is the man to the left of the glasses doing?,resting,n318684.jpg
201498727,201498727,The telephone is made of plastic.,10q-phone_material,What is the phone made of?,plastic,n315887.jpg
201873473,201873473,"No, there is a fire truck but it is white.",04-fire truck_red,Are there any red fire trucks?,no,n309148.jpg
20300425,20300425,The vehicles are cars.,"15-traffic light_waiting for,s",Which kind of vehicle is waiting for the traffic light?,cars,n208302.jpg
20300424,20300424,The vehicles are cars.,"15-traffic light_waiting for,s",What kind of vehicle is waiting for the traffic light?,cars,n208302.jpg
20899558,20899558,The ipod is blue.,10q-ipod_color,The electronic device to the left of the notebook has what color?,blue,n403734.jpg
20300420,20300420,The vehicles are cars.,"15-road_above,s",What are the vehicles above the road near the side walk?,cars,n208302.jpg
20300423,20300423,The cars are waiting for the traffic light.,"14-traffic light_waiting for,s",What is waiting for the traffic light?,cars,n208302.jpg
20836565,20836565,The luggage is sitting in front of the table.,"14-table_sitting in front of,s",What is sitting in front of the table that looks yellow and black?,luggage,n507959.jpg
201947624,201947624,"No, there is a toothbrush but no mats.",09existAnd-mat_toothbrush,Are there both toothbrushes and mats in this picture?,no,n473688.jpg
201947620,201947620,"Yes, the soap dish is to the right of the soap dispenser.",13-soap dish_soap dispenser,Is the soap dish to the right of the soap dispenser?,yes,n473688.jpg
20300427,20300427,The cars are waiting for the signal light.,"14-cars_waiting for,o",The parked vehicles are waiting for what?,traffic light,n208302.jpg
201504960,201504960,"No, the shorts are blue but small.",05-blue_large,Are the shorts large and blue?,no,n298104.jpg
201947590,201947590,The soap dispenser is sitting on the countertop.,"14-soap dispenser_sitting on,o",The soap dispenser made of chrome is sitting on what?,countertop,n473688.jpg
20177575,20177575,The serving tray is white.,10q-serving tray_color,What color is the serving tray that looks rectangular?,white,n55058.jpg
20381557,20381557,"No, the computer monitor is white.",06-computer monitor_black,Does the device under the picture frame look black?,no,n398257.jpg
201982069,201982069,The trousers are made of cloth.,10c-pants_material,"Which material are the trousers made of, cloth or leather?",cloth,n526228.jpg
201370428,201370428,The pens are black and white.,10c-pens_24,"How do the pens look, colorful or black and white?",black and white,n351318.jpg
201878325,201878325,The jacket is worn around the man.,"14-jacket_worn around,o",Who is the jacket worn around?,man,n342511.jpg
201370422,201370422,The pens are on the right of the image.,10q-pens_hposition,On which side of the picture are the pens?,right,n351318.jpg
2075708,2075708,"Yes, there are skis.",03-skis,Do you see any skis?,yes,n315859.jpg
201896034,201896034,The piece of furniture is a table.,"15-lady_to the right of,s",What is the item of furniture to the right of the lady that is looking down at the cake called?,table,n111390.jpg
201065497,201065497,The man is blond.,10c-man_color,Is the man to the left of the performer brunette or blond?,blond,n429883.jpg
20857175,20857175,"No, the cell phone is lying on top of a bed.",13-cell phone_desk,Is the cell phone lying on top of a desk?,no,n293477.jpg
20648122,20648122,"Yes, the helmet is to the left of a woman.",13-helmet_woman,Is the plastic helmet to the left of a woman?,yes,n471866.jpg
20636999,20636999,"No, the spoon is small but silver.",05-black_small,Does the utensil beside the pan have black color and small size?,no,n184385.jpg
20258752,20258752,The kid is wearing jeans.,"14-jeans_wearing,s",Who is wearing jeans?,child,n204894.jpg
201156466,201156466,"Yes, the balls are light.",06-balls_light,Do the balls to the left of the other ball look light?,yes,n146522.jpg
201885557,201885557,The swimsuit is male.,10q-swimsuit_gender,What gender is the swimsuit?,male,n222297.jpg
202081210,202081210,"No, the toaster is to the right of the house.",13-toaster_refrigerator,Is the toaster to the right of a refrigerator?,no,n314630.jpg
20117834,20117834,The trees are lush.,10c-trees_25,Are the trees on the field bare or lush?,lush,n494677.jpg
201438286,201438286,"Yes, the net is in front of the man.",13-net_man,Is the net in front of the man?,yes,n66756.jpg
20117781,20117781,"Yes, it is cloudy.",01-weather_cloudy,Is the weather cloudy?,yes,n494677.jpg
201756501,201756501,"The color, both the door and the kitten are white.",09common-door_kitten,What is common to the door and the kitten?,color,n567860.jpg
20716925,20716925,The jacket is small.,10c-jacket_size,Is the jacket made of cotton large or small?,small,n67005.jpg
20541270,20541270,The chair is to the right of the couch.,13-couch_chair,Is the gray chair to the left or to the right of the couch in the picture?,right,n527290.jpg
201056079,201056079,The soccer player is male.,10c-soccer player_gender,Is the soccer player that is to the left of the ball female or male?,male,n259002.jpg
20468617,20468617,"No, the fence is made of wire.",06-fence_iron,Was iron used to make the fence?,no,n171169.jpg
2017235,2017235,The hair is black.,10q-hair_color,What color is the hair?,black,n324908.jpg
20427913,20427913,The picture is hanging above the chair.,"14-picture_hanging above,o",What is the picture hanging above?,chair,n281241.jpg
20427912,20427912,The picture is hanging above the chair.,"14-picture_hanging above,o",The framed picture is hanging above what?,chair,n281241.jpg
201480278,201480278,"No, the hat is dry.",06-hat_wet,Is the hat wet?,no,n39114.jpg
201056072,201056072,The soccer player is running.,running,Who is running?,soccer player,n259002.jpg
20887449,20887449,The device is a keyboard.,12q-device_large,What is the large device called?,keyboard,n282436.jpg
20648218,20648218,The police officer is wearing a helmet.,"14-helmet_wearing,s",Who is wearing a helmet?,policeman,n471866.jpg
202102931,202102931,The dishwasher is beneath the microwave.,"14-microwave_beneath,s",What is beneath the microwave?,dishwasher,n386682.jpg
201047479,201047479,The dress shirt is teal.,10c-dress shirt_color,Is the dress shirt gray or teal?,teal,n234683.jpg
