result,answer,code,test_code,id,query,img_path,possible_answers
no,no,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""Is it overcast?"")","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives two options, so the result should be one of them
    assert result in ['yes', 'no'], ""Expected output to be yes or no""
    return result",201307251,Is it overcast?,data/images/n161313.jpg,"No, it is clear."
woman,women,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    person_patches = image_patch.find(""person"")
    if len(person_patches) == 0:
        return image_patch.simple_query(""Who is wearing the dress?"")
    for person_patch in person_patches:
        is_wearing_dress = (person_patch.simple_query(""Is the person wearing a dress?"") == ""yes"")
        if is_wearing_dress:
            return person_patch.simple_query(""Who is wearing the dress?"")
    return ""Unknown""","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives options using """"or"""", the return values will be one of the options
    valid_names = ['John', 'Mary', 'Alice', 'Bob']
    if result not in valid_names:
        # Use llm_query to check if it's describing a person
        is_person = llm_query(f""Is '{result}' a person name?"", long_answer=False)
        assert is_person == 'yes', f""Expected a person name, got {result}""
    return result",201640614,Who is wearing the dress?,data/images/n235859.jpg,The women are wearing a dress.
no,no,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    utensil_patches = image_patch.find(""utensil"")
    # Question assumes only one utensil patch
    if len(utensil_patches) == 0:
        # If no utensil is found, query the image directly
        return image_patch.simple_query(""Does the utensil on top of the table look clean and black?"")
    for utensil_patch in utensil_patches:
        table_patches = image_patch.find(""table"")
        for table_patch in table_patches:
            if table_patch.upper > utensil_patch.upper:
                return utensil_patch.simple_query(""Does the utensil on top of the table look clean and black?"")
    return ""no""","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives two options, so the result should be one of them
    assert result in ['yes', 'no'], ""Expected output to be yes or no""
    return result",202225914,Does the utensil on top of the table look clean and black?,data/images/n336443.jpg,"No, the fork is clean but silver."
yes,yes,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    surfer_patches = image_patch.find(""surfer"")
    # Question assumes only one surfer patch
    if len(surfer_patches) == 0:
        # If no surfer is found, query the image directly
        return image_patch.simple_query(""Is the surfer that looks wet wearing a wetsuit?"")
    for surfer_patch in surfer_patches:
        is_wet = surfer_patch.simple_query(""Is the surfer wet?"")
        is_wearing_wetsuit = surfer_patch.simple_query(""Is the surfer wearing a wetsuit?"")
        if is_wet == ""yes"" and is_wearing_wetsuit == ""yes"":
            return ""yes""
    return ""no""","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives two options, so the result should be one of them
    assert result in ['yes', 'no'], ""Expected output to be yes or no""
    return result",2062325,Is the surfer that looks wet wearing a wetsuit?,data/images/n179136.jpg,"Yes, the surfer is wearing a wetsuit."
short,short,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    chair_patches = image_patch.find(""chair"")
    if len(chair_patches) == 0:
        return image_patch.simple_query(""How tall is the chair in the bottom of the photo?"")
    for chair_patch in chair_patches:
        if chair_patch.vertical_center < image_patch.lower:
            return ""tall""
    return ""short""","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    assert result in ['tall','short'], ""Expected output to be tall or short""
    # Test case 2:
    assert not any(char.isdigit() for char in result), ""Expected output to not have numbers""
    return result",201303229,How tall is the chair in the bottom of the photo?,data/images/n518912.jpg,The chair is short.
remote control,keyboard,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    device_patches = image_patch.find(""device"")
    if len(device_patches) == 0:
        return image_patch.simple_query(""What kind of device is on top of the desk?"")
    for device_patch in device_patches:
        if device_patch.upper > image_patch.upper / 2:
            return device_patch.simple_query(""What kind of device is on top of the desk?"")
    return image_patch.simple_query(""What kind of device is on top of the desk?"")","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives options using """"or"""", the return values will be one of the options
    valid_devices = ['computer', 'phone','mouse', 'keyboard']
    if result not in valid_devices:
        # Use llm_query to check if it's describing a device
        is_device = llm_query(f""Is '{result}' a device name?"", long_answer=False)
        assert is_device == 'yes', f""Expected a device name, got {result}""
    return result",201902997,What kind of device is on top of the desk?,data/images/n435808.jpg,The device is a keyboard.
ocean,ocean,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is the airplane flying above?"")","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives options using """"or"""", the return values will be one of the options
    valid_aircraft = ['airplane', 'helicopter', 'plane', 'jet', 'glider']
    if result not in valid_aircraft:
        # Use llm_query to check if it's describing an aircraft
        is_aircraft = llm_query(f""Is '{result}' an aircraft name?"", long_answer=False)
        assert is_aircraft == 'yes', f""Expected an aircraft name, got {result}""
    return result",20567512,What is the airplane flying above?,data/images/n414992.jpg,The plane is flying above the ocean.
red,red,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What color are the pants?"")","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives options using """"or"""", the return values will be one of the options
    valid_colors = ['red', 'blue', 'green', 'black', 'grey', 'orange', 'pink']
    if result not in valid_colors:
        # Use llm_query to check if it's describing a color
        is_color = llm_query(f""Is '{result}' a color name?"", long_answer=False)
        assert is_color == 'yes', f""Expected a color name, got {result}""
    return result",20136592,What color are the pants?,data/images/n446242.jpg,The pants are red.
brown,brown,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""Is the ground blue or brown?"")","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives two options, so the result should be one of them
    assert result in ['blue', 'brown'], ""Expected output to be blue or brown""
    return result",20602803,Is the ground blue or brown?,data/images/n168412.jpg,The ground is brown.
curtains,drapes,"def execute_command(image, my_fig, time_wait_between_lines, syntax):
    image_patch = ImagePatch(image)
    window_patches = image_patch.find(""window"")
    # Question assumes only one window patch
    if len(window_patches) == 0:
        # If no window is found, query the image directly
        return image_patch.simple_query(""What is around the open window?"")
    for window_patch in window_patches:
        if window_patch.simple_query(""Is the window open?"") == ""yes"":
            return image_patch.simple_query(""What is around the open window?"")
    return image_patch.simple_query(""What is around the open window?"")","def execute_test(image):
    result = execute_command(image, my_fig, time_wait_between_lines, syntax)
    # Test case 1:
    # Query gives options using """"or"""", the return values will be one of the options
    valid_options = ['curtain', 'blind','screen', 'nothing']
    if result not in valid_options:
        # Use llm_query to check if it's describing something around the window
        is_option = llm_query(f""Is '{result}' something that can be around a window?"", long_answer=False)
        assert is_option == 'yes', f""Expected something that can be around a window, got {result}""
    return result",201079951,What is around the open window?,data/images/n23181.jpg,The draperies are around the window.
